Nazwa kontenera: K1 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 4958.0kg
Nazwa kontenera: K390 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 3974.0kg
Nazwa kontenera: K390 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 7944.0kg
Nazwa kontenera: K391 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 3750.0kg
Nazwa kontenera: K391 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 6698.0kg
Nazwa kontenera: K392 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: gumowe kaczki  | Masa: 7903.0kg
Nazwa kontenera: K393 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: gumowe kaczki  | Masa: 6703.0kg
Nazwa kontenera: K394 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: ciecze  | Masa: 4365.0kg
Nazwa kontenera: K395 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: ciecze  | Masa: 3223.0kg
Nazwa kontenera: K396 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: ciecze  | Masa: 5921.0kg
Nazwa kontenera: K397 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: ciecze  | Masa: 3634.0kg
Nazwa kontenera: K398 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 3817.0kg
Nazwa kontenera: K398 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 6123.0kg
Nazwa kontenera: K399 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: gumowe kaczki  | Masa: 6845.0kg
Nazwa kontenera: K400 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 6177.0kg
Nazwa kontenera: K400 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 4284.0kg
Nazwa kontenera: K401 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: ciecze  | Masa: 5694.0kg
Nazwa kontenera: K402 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: ciecze  | Masa: 7104.0kg
Nazwa kontenera: K403 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: ciecze  | Masa: 4286.0kg
Nazwa kontenera: K404 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: ciecze  | Masa: 5583.0kg
Nazwa kontenera: K405 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: ciecze  | Masa: 6480.0kg
Nazwa kontenera: K406 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: gumowe kaczki  | Masa: 6101.0kg
Nazwa kontenera: K407 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: ciecze  | Masa: 4044.0kg
Nazwa kontenera: K408 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 7253.0kg
Nazwa kontenera: K408 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 3480.0kg
Nazwa kontenera: K409 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 5207.0kg
Nazwa kontenera: K409 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 7070.0kg
Nazwa kontenera: K410 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: ciecze  | Masa: 7712.0kg
Nazwa kontenera: K411 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: ciecze  | Masa: 5383.0kg
Nazwa kontenera: K412 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: materialy budowlane  | Masa: 6693.0kg
Nazwa kontenera: K413 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: materialy budowlane  | Masa: 6112.0kg
Nazwa kontenera: K414 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: ciecze  | Masa: 5389.0kg
Nazwa kontenera: K415 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: gumowe kaczki  | Masa: 5103.0kg
Nazwa kontenera: K416 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 7974.0kg
Nazwa kontenera: K416 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 4293.0kg
Nazwa kontenera: K417 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 4180.0kg
Nazwa kontenera: K417 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 6324.0kg
Nazwa kontenera: K418 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 6821.0kg
Nazwa kontenera: K418 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 4665.0kg
Nazwa kontenera: K419 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 7873.0kg
Nazwa kontenera: K419 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 6626.0kg
Nazwa kontenera: K420 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 4406.0kg
Nazwa kontenera: K420 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 7548.0kg
Nazwa kontenera: K421 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: gumowe kaczki  | Masa: 3268.0kg
Nazwa kontenera: K422 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 7817.0kg
Nazwa kontenera: K422 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 5473.0kg
Nazwa kontenera: K423 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 5829.0kg
Nazwa kontenera: K423 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 6868.0kg
Nazwa kontenera: K424 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: ciecze  | Masa: 7044.0kg
Nazwa kontenera: K425 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: materialy budowlane  | Masa: 5461.0kg
Nazwa kontenera: K426 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: ciecze  | Masa: 6575.0kg
Nazwa kontenera: K427 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: ciecze  | Masa: 6422.0kg
Nazwa kontenera: K428 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: materialy budowlane  | Masa: 7225.0kg
Nazwa kontenera: K429 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: ciecze  | Masa: 6450.0kg
Nazwa kontenera: K430 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 6167.0kg
Nazwa kontenera: K430 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 5890.0kg
Nazwa kontenera: K431 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: ciecze  | Masa: 4889.0kg
Nazwa kontenera: K432 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: ciecze  | Masa: 3076.0kg
Nazwa kontenera: K433 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: materialy budowlane  | Masa: 6947.0kg
Nazwa kontenera: K434 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: materialy budowlane  | Masa: 4059.0kg
Nazwa kontenera: K435 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 3366.0kg
Nazwa kontenera: K435 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 6179.0kg
Nazwa kontenera: K436 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: materialy budowlane  | Masa: 6102.0kg
Nazwa kontenera: K437 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: ciecze  | Masa: 7107.0kg
Nazwa kontenera: K438 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 7233.0kg
Nazwa kontenera: K438 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 5593.0kg
Nazwa kontenera: K439 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: gumowe kaczki  | Masa: 7679.0kg
Nazwa kontenera: K440 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: ciecze  | Masa: 5836.0kg
Nazwa kontenera: K441 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 4917.0kg
Nazwa kontenera: K441 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 7262.0kg
Nazwa kontenera: K442 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: ciecze  | Masa: 4840.0kg
Nazwa kontenera: K443 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: ciecze  | Masa: 3097.0kg
Nazwa kontenera: K444 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 3110.0kg
Nazwa kontenera: K444 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 5188.0kg
Nazwa kontenera: K445 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: materialy budowlane  | Masa: 3264.0kg
Nazwa kontenera: K446 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: materialy budowlane  | Masa: 4550.0kg
Nazwa kontenera: K447 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: ciecze  | Masa: 3224.0kg
Nazwa kontenera: K448 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: materialy budowlane  | Masa: 6163.0kg
Nazwa kontenera: K449 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: materialy budowlane  | Masa: 3258.0kg
Nazwa kontenera: K450 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 5047.0kg
Nazwa kontenera: K450 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 6026.0kg
Nazwa kontenera: K451 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: ciecze  | Masa: 6879.0kg
Nazwa kontenera: K452 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 7986.0kg
Nazwa kontenera: K452 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 6307.0kg
Nazwa kontenera: K453 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: gumowe kaczki  | Masa: 6287.0kg
Nazwa kontenera: K454 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: gumowe kaczki  | Masa: 6891.0kg
Nazwa kontenera: K455 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: materialy budowlane  | Masa: 7877.0kg
Nazwa kontenera: K456 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 3432.0kg
Nazwa kontenera: K456 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 5816.0kg
Nazwa kontenera: K457 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: gumowe kaczki  | Masa: 3830.0kg
Nazwa kontenera: K458 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: ciecze  | Masa: 6797.0kg
Nazwa kontenera: K459 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 4759.0kg
Nazwa kontenera: K459 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 7109.0kg
Nazwa kontenera: K460 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 7684.0kg
Nazwa kontenera: K460 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 6175.0kg
Nazwa kontenera: K461 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: ciecze  | Masa: 5049.0kg
Nazwa kontenera: K462 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 7645.0kg
Nazwa kontenera: K462 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 6299.0kg
Nazwa kontenera: K463 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: ciecze  | Masa: 6918.0kg
Nazwa kontenera: K464 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: ciecze  | Masa: 3151.0kg
Nazwa kontenera: K465 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 4346.0kg
Nazwa kontenera: K465 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 6984.0kg
Nazwa kontenera: K466 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 4918.0kg
Nazwa kontenera: K466 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 3778.0kg
Nazwa kontenera: K467 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: ciecze  | Masa: 6021.0kg
Nazwa kontenera: K468 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 6898.0kg
Nazwa kontenera: K468 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 7950.0kg
Nazwa kontenera: K469 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: materialy budowlane  | Masa: 6079.0kg
Nazwa kontenera: K470 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: ciecze  | Masa: 3051.0kg
Nazwa kontenera: K471 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: gumowe kaczki  | Masa: 4055.0kg
Nazwa kontenera: K472 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: materialy budowlane  | Masa: 3244.0kg
Nazwa kontenera: K473 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: materialy budowlane  | Masa: 6776.0kg
Nazwa kontenera: K474 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 3868.0kg
Nazwa kontenera: K474 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 5928.0kg
Nazwa kontenera: K475 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: materialy budowlane  | Masa: 3115.0kg
Nazwa kontenera: K476 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: materialy budowlane  | Masa: 6017.0kg
Nazwa kontenera: K477 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: gumowe kaczki  | Masa: 5107.0kg
Nazwa kontenera: K478 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: materialy budowlane  | Masa: 7167.0kg
Nazwa kontenera: K479 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 7334.0kg
Nazwa kontenera: K479 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 7926.0kg
Nazwa kontenera: K480 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: materialy budowlane  | Masa: 7357.0kg
Nazwa kontenera: K481 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: ciecze  | Masa: 6169.0kg
Nazwa kontenera: K482 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 6634.0kg
Nazwa kontenera: K482 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 7433.0kg
Nazwa kontenera: K483 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: materialy budowlane  | Masa: 5168.0kg
Nazwa kontenera: K484 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 3787.0kg
Nazwa kontenera: K484 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 7983.0kg
Nazwa kontenera: K485 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 5054.0kg
Nazwa kontenera: K485 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 6556.0kg
Nazwa kontenera: K486 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: gumowe kaczki  | Masa: 4634.0kg
Nazwa kontenera: K487 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: gumowe kaczki  | Masa: 5628.0kg
Nazwa kontenera: K488 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: gumowe kaczki  | Masa: 4479.0kg
Nazwa kontenera: K489 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 3468.0kg
Nazwa kontenera: K489 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 6859.0kg
Nazwa kontenera: K490 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: gumowe kaczki  | Masa: 7876.0kg
Nazwa kontenera: K491 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: materialy budowlane  | Masa: 7503.0kg
Nazwa kontenera: K492 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: gumowe kaczki  | Masa: 5403.0kg
Nazwa kontenera: K493 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: gumowe kaczki  | Masa: 5782.0kg
Nazwa kontenera: K494 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: gumowe kaczki  | Masa: 6584.0kg
Nazwa kontenera: K495 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: ciecze  | Masa: 3224.0kg
Nazwa kontenera: K496 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: gumowe kaczki  | Masa: 3780.0kg
Nazwa kontenera: K497 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: ciecze  | Masa: 3532.0kg
Nazwa kontenera: K498 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: ciecze  | Masa: 6982.0kg
Nazwa kontenera: K499 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: ciecze  | Masa: 7719.0kg
Nazwa kontenera: K500 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 6551.0kg
Nazwa kontenera: K500 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 3931.0kg
Nazwa kontenera: K501 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: ciecze  | Masa: 6891.0kg
Nazwa kontenera: K502 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: gumowe kaczki  | Masa: 6990.0kg
Nazwa kontenera: K503 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: materialy budowlane  | Masa: 6540.0kg
Nazwa kontenera: K504 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: materialy budowlane  | Masa: 6989.0kg
Nazwa kontenera: K505 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: ciecze  | Masa: 3250.0kg
Nazwa kontenera: K506 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: gumowe kaczki  | Masa: 4629.0kg
Nazwa kontenera: K507 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: gumowe kaczki  | Masa: 5241.0kg
Nazwa kontenera: K508 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: ciecze  | Masa: 3764.0kg
Nazwa kontenera: K509 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 3341.0kg
Nazwa kontenera: K509 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 5247.0kg
Nazwa kontenera: K510 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: ciecze  | Masa: 4143.0kg
Nazwa kontenera: K511 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 4452.0kg
Nazwa kontenera: K511 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 4380.0kg
Nazwa kontenera: K512 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: gumowe kaczki  | Masa: 3145.0kg
Nazwa kontenera: K513 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 4720.0kg
Nazwa kontenera: K513 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 6412.0kg
Nazwa kontenera: K514 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: ciecze  | Masa: 4224.0kg
Nazwa kontenera: K515 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: gumowe kaczki  | Masa: 7768.0kg
Nazwa kontenera: K516 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 4307.0kg
Nazwa kontenera: K516 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: mrozonki  | Masa: 7676.0kg
Nazwa kontenera: K517 |  Wysokosc: 270.0cm  |Szerokosc: 235.0cm  |Dlugosc: 239.0cm  |Towar: ciecze  | Masa: 4510.0kg
